00.000	00.253
00.100	00.267
00.200	00.275
00.300	00.305
00.400	00.331
00.500	00.372
00.600	00.425
00.700	00.480
00.800	00.551
00.900	00.627
01.000	00.704
01.100	00.797
01.200	00.893
01.300	01.001
01.400	01.118
01.500	01.245
01.600	01.364
01.700	01.486
01.800	01.620
01.900	01.759
02.000	01.903
02.100	02.049
02.200	02.200
02.300	02.355
02.400	02.511
02.500	02.675
02.600	02.834
02.700	03.001
02.800	03.169
02.900	03.331
03.000	03.486
03.100	03.646
03.200	03.818
03.300	03.979
03.400	04.126
03.500	04.275
03.600	04.424
03.700	04.575
03.800	04.715
03.900	04.853
04.000	04.995
04.100	05.130
04.200	05.262
04.300	05.385
04.400	05.421
04.500	05.609
04.600	05.726
04.700	05.818
04.800	05.941
04.900	06.047
05.000	06.136
